STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Population,Density,Total_IPC_per_100k,Murder_per_100k
DELHI UT,Central,2001,29,42,4,28,0,28,62,42,20,3,1,42,149,1595,560,1035,9,57,134,3,1,113,4,30,7,2,0,13,1422,3750,582320,27730,643.98,4.98
DELHI UT,East,2001,56,51,15,24,0,24,163,39,124,4,15,47,270,1651,835,816,20,41,143,6,4,257,11,56,11,27,0,23,1552,4447,1709346,27132,260.16,3.28
DELHI UT,North East,2001,62,79,5,36,0,36,157,123,34,3,6,74,157,961,500,461,7,27,57,3,3,260,20,34,1,8,0,12,1477,3449,2241624,36155,153.86,2.77
DELHI UT,North,2001,28,33,5,28,0,28,99,53,46,2,5,52,177,1364,455,909,11,86,159,7,3,165,4,26,6,9,0,0,1729,3998,887978,14557,450.24,3.15
DELHI UT,North West,2001,134,107,13,103,0,103,518,298,220,14,9,122,619,2850,1429,1421,20,55,139,3,14,429,25,102,18,22,0,22,4663,10001,3656539,8254,273.51,3.66
DELHI UT,New Delhi,2001,11,14,0,9,0,9,27,19,8,1,0,22,75,1237,341,896,14,36,296,12,3,35,0,20,6,2,0,109,731,2660,142004,4057,1873.19,7.75
DELHI UT,South,2001,83,75,7,65,0,65,265,170,95,9,10,120,803,4220,1986,2234,46,100,373,1,10,307,15,96,24,22,0,103,3991,10745,2731929,11060,393.31,3.04
DELHI UT,South West,2001,61,52,1,42,0,42,174,113,61,9,4,74,359,1816,772,1044,32,31,182,3,8,181,16,69,13,24,0,144,2094,5389,2292958,5446,235.02,2.66
DELHI UT,West,2001,70,51,12,45,0,45,151,99,52,2,24,58,418,2100,996,1104,5,38,198,1,3,252,18,65,2,22,0,4,4151,7690,2543243,19563,302.37,2.75
DELHI UT,Central,2002,23,38,7,22,0,22,71,57,14,1,1,39,143,1356,453,903,8,46,143,4,1,108,2,41,17,6,0,20,1481,3578,582320,27730,614.44,3.95
DELHI UT,East,2002,50,35,9,10,0,10,141,109,32,7,13,37,210,1440,779,661,14,32,105,7,6,247,19,55,6,16,0,15,1407,3881,1709346,27132,227.05,2.93
DELHI UT,North East,2002,66,65,2,39,0,39,156,111,45,2,8,65,139,878,473,405,12,24,71,3,3,224,13,27,3,29,0,20,1108,2957,2241624,36155,131.91,2.94
DELHI UT,North,2002,40,22,12,27,0,27,84,47,37,7,12,43,131,1183,412,771,14,66,136,7,8,160,5,31,23,4,0,0,1666,3681,887978,14557,414.54,4.5
DELHI UT,North West,2002,135,90,9,120,0,120,430,259,171,20,11,112,487,2290,1210,1080,14,75,136,3,12,360,26,101,16,20,0,50,4674,9191,3656539,8254,251.36,3.69
DELHI UT,New Delhi,2002,6,8,1,8,0,8,20,12,8,0,2,20,54,1149,347,802,10,24,266,10,2,45,0,11,15,2,0,101,652,2406,142004,4057,1694.32,4.23
DELHI UT,South,2002,80,60,6,65,0,65,163,124,39,4,3,74,518,3541,1897,1644,37,102,293,3,10,252,22,76,22,22,0,100,3853,9306,2731929,11060,340.64,2.93
DELHI UT,South West,2002,52,45,5,68,0,68,126,80,46,4,4,48,364,1531,774,757,24,34,168,5,8,167,21,62,13,20,0,50,1995,4814,2292958,5446,209.95,2.27
DELHI UT,West,2002,73,72,16,44,0,44,128,93,35,1,13,50,313,1925,1060,865,5,33,154,4,7,278,27,37,11,16,0,59,3882,7148,2543243,19563,281.06,2.87
DELHI UT,Central,2003,29,20,6,20,0,20,63,40,23,2,4,14,102,1187,490,697,0,48,141,4,4,135,4,29,10,49,0,10,1117,2998,582320,27730,514.84,4.98
DELHI UT,East,2003,44,38,6,37,0,37,158,119,39,4,15,39,179,1757,927,830,9,41,121,2,3,231,15,73,8,190,0,72,1289,4331,1709346,27132,253.37,2.57
DELHI UT,North East,2003,54,64,5,53,0,53,182,133,49,4,21,56,130,796,459,337,4,30,92,6,0,222,20,41,5,128,0,39,1173,3125,2241624,36155,139.41,2.41
DELHI UT,North,2003,32,23,12,34,0,34,63,44,19,1,10,35,81,923,337,586,7,45,147,6,9,155,4,16,8,55,0,0,1725,3391,887978,14557,381.88,3.6
