STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Delhi UT,CAW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,202,0,0,0,203
Delhi UT,CENTRAL,2013,20,35,5,71,0,71,220,113,107,1,0,55,121,1928,948,980,4,45,323,0,5,122,2,174,28,50,0,79,1274,4562
Delhi UT,CRIME BRANCH,2013,2,6,0,4,0,4,1,0,1,0,0,0,0,1,0,1,0,1,48,5,0,0,0,0,0,0,0,0,12,80
Delhi UT,EAST,2013,51,60,10,210,0,210,737,428,309,5,0,134,236,4252,2313,1939,7,34,240,4,11,177,11,364,133,246,0,134,3332,10388
Delhi UT,EOW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,0,0,0,0,0,0,0,0,0,84,163
Delhi UT,GRP(RLY),2013,13,2,0,4,0,4,19,5,14,0,0,20,0,553,5,548,2,0,15,0,0,4,0,11,1,0,0,0,116,760
Delhi UT,IGI AIRPORT,2013,0,0,0,0,0,0,1,1,0,0,0,2,0,79,11,68,0,5,12,3,0,2,0,9,5,0,0,5,228,351
Delhi UT,METRO RAIL,2013,1,1,0,0,0,0,8,4,4,0,0,2,4,875,19,856,2,4,11,0,0,1,1,16,12,2,0,1,21,962
Delhi UT,NEW DELHI,2013,7,6,2,19,0,19,74,35,39,0,0,14,19,473,127,346,19,18,71,38,1,21,1,66,25,17,0,55,512,1458
Delhi UT,NORTH,2013,29,25,2,53,0,53,266,151,115,2,0,87,165,1542,657,885,12,38,167,1,11,93,9,164,25,107,0,148,1135,4081
Delhi UT,NORTH-EAST,2013,69,87,9,183,0,183,923,513,410,5,0,223,143,3703,2094,1609,12,20,200,3,13,241,27,333,30,438,0,119,2260,9041
Delhi UT,NORTH-WEST,2013,47,56,3,143,0,143,597,343,254,10,0,194,331,2548,1182,1366,8,28,218,1,1,172,17,301,45,236,0,180,1428,6564
Delhi UT,OUTER,2013,88,84,8,178,0,178,923,530,393,6,1,134,547,3383,1675,1708,4,27,283,3,12,203,14,332,155,466,0,264,2464,9579
Delhi UT,SOUTH,2013,23,35,8,163,0,163,539,328,211,0,1,68,429,3420,1590,1830,4,62,360,0,10,133,10,539,140,117,0,160,2372,8593
Delhi UT,SOUTH-EAST,2013,60,68,7,230,0,230,719,404,315,2,0,132,240,3155,1865,1290,10,40,292,2,11,237,16,386,95,220,0,195,2491,8608
Delhi UT,SOUTH-WEST,2013,52,61,5,194,0,194,556,330,226,1,0,116,263,1077,623,454,9,28,295,0,7,127,14,419,128,403,0,204,2004,5963
Delhi UT,STF,2013,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,15
Delhi UT,WEST,2013,55,54,6,184,0,184,711,424,287,1,2,64,337,3135,1807,1328,20,34,287,1,15,235,22,400,94,529,0,234,2393,8813
Delhi UT,ZZ TOTAL,2013,517,585,65,1636,0,1636,6294,3609,2685,33,4,1245,2835,30124,14916,15208,113,387,2899,66,97,1768,144,3515,916,3033,0,1778,22130,80184
